,primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr
10724,SAXO2,0.0944733383362116,-0.00650172524077743,0.00152497770525317,-0.014528428186808,0.11103524397516
10725,C3orf70,0.0948447890020583,NA,NA,NA,0.11146141916848
10726,SLC41A2,0.0953521790141953,-0.0094789156765572,0.00169602112938845,-0.0206538524825029,0.112047255667995
10727,TXLNB,0.09543297269137,0.00896782337090348,0.0341593762521116,-0.0162237295103046,0.112131741195304
10728,PIGBOS1,0.0954713177077812,0.00352555379628164,0.0240247146290586,-0.0169736070364953,0.112166339335279
10729,TRMO,0.0954885778567953,0.0230776540298998,0.0963249549949002,-0.0501696469351006,0.112176161367047
10730,ZNF780B,0.0956719530692329,-0.0135550646107573,0.0145759602307454,-0.0416860894522601,0.112381108712452
10731,ABCE1,0.0957997631317896,0.0297066727161929,0.0992016991739219,-0.0397883537415362,0.112520754311162
10732,OR2M4,0.0969996016484067,-0.0108432006404813,0.00258457488399917,-0.0242709761649618,0.11391939798514
10733,KIF2C,0.0972103180848467,-0.0157496272661242,-0.000231559322036444,-0.0312676952102121,0.114156233032834
10734,CEP104,0.0977308197511978,0.000775348974389606,0.041488873941978,-0.0399381759931988,0.114756777729094
10735,TLN1,0.0978284198221974,-0.0283416345559895,0.0525306793047894,-0.109213948416768,0.114860680338982
10736,TUBA1A,0.0981012593178846,0.103584050084112,0.199469888505869,0.00769821166235471,0.115170293632882
10737,NR1D1,0.0986095987821876,0.00884820035347623,0.018984712992199,-0.00128831228524656,0.115756299064049
10738,CHADL,0.0986519739248075,-0.0141051498800019,0.000497468502172364,-0.0287077682621761,0.115795257901683
10739,SPATA45,0.0986659316087415,-0.0125237861964574,0.000788537270341446,-0.0258361096632563,0.115800856876485
10740,MANF,0.0987864760917301,-0.0220909593624956,0.0393216664258928,-0.0835035851508839,0.115931540471151
10741,ENC1,0.0990961794792012,0.0127455808905064,0.0268808458114954,-0.0013896840304826,0.116284167782874
10742,ATM,0.099326470848138,-0.0386713619694112,0.0147711189324734,-0.0921138428712957,0.116543552277968
10743,PCDHGA8,0.0994871069687368,-0.00735720474693813,0.0275182864343449,-0.0422326959282211,0.116721166921154
10744,SPDL1,0.0995088032378962,0.00301514318519069,0.0201918745155858,-0.0141615881452045,0.116735755399334
10745,ARHGAP42,0.0997253926340675,-0.00985281631929981,0.00352030866813433,-0.0232259413067339,0.116978952885974
10746,CTTNBP2NL,0.0998123146831849,-0.0157708516523521,0.00766749052868034,-0.0392091938333845,0.117070018078063
10747,SPON2,0.100022455725857,-0.0109012787478596,0.001192130873886,-0.0229946883696052,0.117305576623122
10748,RNF14,0.10013851922484,0.0302891873795237,0.0669799707098201,-0.00640159595077269,0.117430768171743
